"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Sademäärä [mm]","Ilman keskilämpötila [°C]","Ylin lämpötila [°C]","Alin lämpötila [°C]"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","25","03:00","-1","0.3","1.2","-3.6"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","26","03:00","-1","-0.4","0.5","-1.3"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","27","03:00","0","-1.1","-0.2","-2"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","28","03:00","-1","-0.2","2.8","-1.9"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","29","03:00","0.2","-1.4","1","-4.6"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","30","03:00","0","-0.7","1","-2.1"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","31","02:00","1.6","-2","-0.3","-4.9"
"Enontekiö Kilpisjärvi kyläkeskus","2016","11","1","02:00","0","-2.1","-1.2","-3.3"
"Enontekiö Kilpisjärvi kyläkeskus","2016","11","2","02:00","-1","-2.9","-1.7","-4.9"
"Enontekiö Kilpisjärvi kyläkeskus","2016","11","3","02:00","0.2","-3","-1.9","-4.7"
"Enontekiö Kilpisjärvi kyläkeskus","2016","11","4","02:00","0.1","-8.1","-4","-11.2"
"Enontekiö Kilpisjärvi kyläkeskus","2016","11","5","02:00","0.2","-8.5","-6.9","-11.6"
"Enontekiö Kilpisjärvi kyläkeskus","2016","11","6","02:00","-1","-8.1","-5.8","-11.2"
"Enontekiö Kilpisjärvi kyläkeskus","2016","11","7","02:00","-1","-11.6","-9.3","-13.9"
"Enontekiö Kilpisjärvi kyläkeskus","2016","11","8","02:00","-1","-9.2","-7.8","-12"
"Enontekiö Kilpisjärvi kyläkeskus","2016","11","9","02:00","-1","-6.7","-4.2","-8.6"
"Enontekiö Kilpisjärvi kyläkeskus","2016","11","10","02:00","-1","-9","-6.4","-12.3"
"Enontekiö Kilpisjärvi kyläkeskus","2016","11","11","02:00","-1","-8.7","-6.3","-13"
"Enontekiö Kilpisjärvi kyläkeskus","2016","11","12","02:00","0","-7.2","-4","-12.2"
